,edabvp_correlation
0,-0.0004969956257971814
1,-0.004868104080206922
2,0.005658762961058971
3,-0.003660905400237636
4,-0.002284206099567253
5,0.0049215903811944735
6,0.008402290004915254
7,0.02709875170863928
8,0.019259320605863047
9,0.000994746911783409
10,0.009295611411365284
11,0.015567764494067915
12,0.002008499502867947
13,-0.0018920709168629053
14,-0.0077692818164304045
15,-0.028974633927417053
16,-0.0335612522935328
17,0.004965669592365529
18,-0.0012850665049212616
19,0.06936144232471061
20,0.014296298384157009
21,0.027163199357035806
22,0.016392108710704498
23,-0.008613924139738412
24,0.016922933664358847
25,0.03754891391247297
26,0.0016571179833267929
27,0.009315426662438274
28,0.0170727174918334
29,0.02231001516938471
30,-0.014181502427501227
31,-0.004545812628065992
32,2.0109814306591744e-05
33,0.04551897480264084
34,-0.005225665062988308
35,-0.030583889003452255
36,-0.005864806096917976
37,0.007134919716683859
38,-0.0021999223847266277
39,-0.00024117608726479016
40,-0.004139042721746546
41,-0.026528490426071853
42,-0.04406135795465679
43,-0.0027024778069118837
44,0.03413221855467107
45,-0.03919404767016138
46,0.01733380505281996
47,0.011531124499005894
48,-0.05541688843678772
49,-0.0025791250748697014
50,0.02080022914338309
51,-0.012647948679648113
52,0.033166142524137895
53,0.009562532321261995
54,0.03130043679335035
55,0.005287087879831207
56,-0.020430303738080115
57,0.009238414731049055
58,-0.01135648347980326
59,-0.09667346612621151
60,0.021369543085800167
61,-0.020341989686268953
62,0.005794085847667092
63,0.07434755532206158
64,-0.04073477118247826
65,-0.0011075783365765294
66,0.2112197522941106
67,-0.021422396527287647
68,0.0025817011841571614
69,-0.03478948438868657
70,0.06199498342564354
71,0.041404187462867545
72,0.04064810140280224
73,0.016207221755089245
74,-0.019626759740868777
75,0.12223660494040801
76,-0.018644913170044217
77,-0.03592865511229441
78,-0.05730617905113077
79,-0.016225865922283325
80,-0.06214671262780456
81,0.016667622248317988
82,-0.051646941828766293
83,0.032630970434161216
84,-0.007095867940957179
85,-0.014474034768342432
86,-0.0331729454804426
87,0.048176727540435726
88,0.02830532477547983
89,-0.11995479615272926
90,-0.06499600816669321
91,-0.02988866426268125
92,0.05382179772300403
93,0.037971919848265465
94,-0.031128876870838595
95,-0.01343232806842401
96,-0.0843774686141952
97,0.006042074063553211
98,0.08150631168335022
99,0.037665579024371794
100,0.005135770842760887
101,-0.01558283317407753
102,-0.005931461803160624
103,-0.08172610777536722
104,0.032793465534706
105,-0.0813489846676951
106,0.045851982912536324
107,0.18827891278294373
108,0.04554690822485958
109,-0.04299837821405604
110,0.017158052757465684
111,-0.002350062707488597
112,0.08186324799698406
113,0.07272521761377013
114,0.02405457583120844
115,-0.020526289159506272
116,0.008426262543823606
117,-0.010611564663394451
118,-0.01162419551195867
119,0.008666881678875069
120,-0.01720489815061139
121,-0.03879502641313056
122,0.020030147117010223
123,-0.024173637843512105
124,-0.06870346245696196
125,0.027474363925399717
126,-0.0020465960901242183
127,0.0359894505679492
128,-0.013528649407979248
129,-0.03420254277335462
130,0.03750313450016908
131,-0.03610586769224951
132,-0.000635826259131893
133,0.011018477494501973
134,0.0006571095387561692
135,-0.02313419595438762
136,-0.08431572871021208
137,0.008626926358879823
138,-0.04108528322279772
139,0.16404360299004545
140,0.04102522993593581
141,0.0005398492000085891
142,0.0011271262027682833
143,0.034045573237459596
144,0.031085270206247288
145,0.02749088029139729
146,-0.028242503658207116
147,0.007256007567923871
148,-0.05441836534179901
149,0.041516838254291706
150,-0.002501363251023517
151,0.03328759835527191
152,0.038297854726491144
153,-0.048065605540826783
154,0.031321082340679395
155,0.06915081994945894
156,-0.0040108971494134385
157,0.00962365736271629
158,0.0019324973444444552
159,0.0011339906706894405
160,0.00539858983837909
161,0.029523394727492398
162,-0.016076838673080723
163,0.03181542014240999
164,-0.017315651993652707
165,-0.017111917132010056
166,-0.0295421535034856
167,0.0066147928279177036
168,0.052118825466043094
169,-0.013311926988594945
170,-0.03680325555427778
171,-0.012543581234121342
172,0.015558285229489559
173,-0.026719026749901897
174,-0.013160500072448242
175,0.2730572954356934
176,0.027842716065287175
177,0.02879175985900104
178,0.0035850909672280307
179,0.017091449213493308
180,0.0011277706608233107
181,-0.019865917040461145
182,0.017564077843964333
183,-0.052885513689097684
184,-0.053031926158359236
185,0.010245641347142342
186,-0.0003044901321276567
187,0.07406048459718341
188,-0.009331694092038623
189,0.015518524675355404
190,-0.015957506117352107
191,-0.022098499743743456
192,-0.004654290967194107
193,0.0004882976839883247
194,0.06761743439477977
195,0.07194801478506593
196,-0.020712034678924372
197,-0.003286889565482699
198,-0.01601886618482855
199,0.0005943314010170909
200,-0.005000039981734861
201,0.03143502673316708
202,-0.07847088619133076
203,0.004519286476919968
204,0.021782798842119287
205,0.01890319779851251
206,-0.05190929449643351
207,-0.026187514079557283
208,-0.030123662128261473
209,-0.005449340184927615
210,-0.02321928384163484
211,-0.0001063254071531507
212,-0.02169373518657534
213,-0.0378887815462648
214,0.027679804527391046
215,0.009074162179911818
216,0.015596618502324909
217,0.04550603320652449
218,-0.008180781037858801
219,-0.010750913895386845
220,-0.007359137155859423
221,-0.05373108241742648
